seed,model,task_id,task_name,route_drift,latent_drift,output_drift
1,Mutualistic09_distill_only,3,6 vs 7,0.0002637920301822305,0.14087047800421715,0.0001455654673918616
1,Mutualistic09_route_memory_only,0,0 vs 1,0.022411441430449486,0.23848584666848183,1.0129859074950218
1,Mutualistic09_route_memory_only,1,2 vs 3,0.002072237890388351,0.26928501576185226,1.0097670257091522
1,Mutualistic09_route_memory_only,2,4 vs 5,0.007435835021169623,0.13996524922549725,0.12010148353874683
1,Mutualistic09_route_memory_only,3,6 vs 7,0.0024856364709648915,0.2544325888156891,0.948851503431797
1,Mutualistic09_latent_only,0,0 vs 1,0.6392441689968109,0.006430403736885637,0.012495715214754455
1,Mutualistic09_latent_only,1,2 vs 3,0.8873409181833267,0.0035124904534313828,0.013796872925013304
1,Mutualistic09_latent_only,2,4 vs 5,0.0027749376376959844,0.003935201180865988,0.0009854826748778578
1,Mutualistic09_latent_only,3,6 vs 7,0.010455776646267623,0.002709837499423884,0.001481317354773637
1,Mutualistic09_route_plus_latent,0,0 vs 1,0.010633736790623516,0.007263895531650633,0.01647038913506549
1,Mutualistic09_route_plus_latent,1,2 vs 3,0.3269832022488117,0.004065268876729533,0.011079866089858115
1,Mutualistic09_route_plus_latent,2,4 vs 5,0.0006977859343351156,0.004976587166311219,0.001006946466077352
1,Mutualistic09_route_plus_latent,3,6 vs 7,0.0007098722544469638,0.0032752953993622214,0.0006094414820836391
1,Mutualistic09_full_functional_memory,0,0 vs 1,0.00634197416366078,0.006399648904334754,0.006481758697191253
1,Mutualistic09_full_functional_memory,1,2 vs 3,0.013429291429929435,0.0031174412288237363,0.0028356372349662706
1,Mutualistic09_full_functional_memory,2,4 vs 5,0.0002602809290692676,0.0033646408701315522,0.0006110376343713142
1,Mutualistic09_full_functional_memory,3,6 vs 7,0.0001945374829119828,0.0018781564285745844,0.00016799307377368677
2,Mutualistic09_distill_only,0,0 vs 1,0.012132411589846015,0.30776573717594147,0.00361413873906713
2,Mutualistic09_distill_only,1,2 vs 3,0.006126400257926434,0.21010263822972775,0.004187502490822226
2,Mutualistic09_distill_only,2,4 vs 5,2.4100232209889327e-06,0.22139108553528786,0.00034907432109321235
2,Mutualistic09_distill_only,3,6 vs 7,1.824723150356533e-07,0.16262085363268852,0.00011321735269120836
2,Mutualistic09_route_memory_only,0,0 vs 1,0.03240414895117283,0.26573871076107025,0.5799821093678474
