seed,model,after_task,task_id,task_name,acc,route_entropy,route_dominance
1,Mutualistic09_route_memory_only,3,1,2 vs 3,0.5155,0.02591691870475188,0.9940209873020649
1,Mutualistic09_route_memory_only,3,2,4 vs 5,0.95,0.005434178798168432,0.9984540827572346
1,Mutualistic09_route_memory_only,3,3,6 vs 7,1.0,0.007886817315011285,0.9979282952845097
1,Mutualistic09_route_memory_only,4,0,0 vs 1,0.5095,0.14731129445135593,0.952599823474884
1,Mutualistic09_route_memory_only,4,1,2 vs 3,0.5005,0.03773111628834158,0.9898290447890759
1,Mutualistic09_route_memory_only,4,2,4 vs 5,0.9635,0.011770400393288583,0.996536873281002
1,Mutualistic09_route_memory_only,4,3,6 vs 7,0.227,0.013589077250799164,0.9958257153630257
1,Mutualistic09_route_memory_only,4,4,8 vs 9,0.998,0.002033413411481888,0.9994584321975708
1,Mutualistic09_latent_only,0,0,0 vs 1,0.985,0.14689938817173243,0.9535256363451481
1,Mutualistic09_latent_only,1,0,0 vs 1,0.986,0.31367230508476496,0.8950561359524727
1,Mutualistic09_latent_only,1,1,2 vs 3,0.9685,0.12466300372034311,0.95293740183115
1,Mutualistic09_latent_only,2,0,0 vs 1,0.986,0.49560316652059555,0.7692281119525433
1,Mutualistic09_latent_only,2,1,2 vs 3,0.97,0.07596048386767507,0.9820069409906864
1,Mutualistic09_latent_only,2,2,4 vs 5,0.9995,0.011063240497605875,0.9980417042970657
1,Mutualistic09_latent_only,3,0,0 vs 1,0.9855,0.13255604822188616,0.9689583033323288
1,Mutualistic09_latent_only,3,1,2 vs 3,0.9685,0.07140714419074357,0.9839875362813473
1,Mutualistic09_latent_only,3,2,4 vs 5,0.9995,0.06956321559846401,0.9850075878202915
1,Mutualistic09_latent_only,3,3,6 vs 7,1.0,0.005131837213411927,0.9993009679019451
1,Mutualistic09_latent_only,4,0,0 vs 1,0.9885,0.5007511675357819,0.8284081853926182
1,Mutualistic09_latent_only,4,1,2 vs 3,0.969,0.054042714880779386,0.9886858575046062
1,Mutualistic09_latent_only,4,2,4 vs 5,1.0,0.030451176455244422,0.9942121431231499
1,Mutualistic09_latent_only,4,3,6 vs 7,1.0,0.0456002977443859,0.98788932710886
1,Mutualistic09_latent_only,4,4,8 vs 9,0.9975,0.005779317390988581,0.9987483955919743
1,Mutualistic09_route_plus_latent,0,0,0 vs 1,0.985,0.14689938817173243,0.9535256363451481
1,Mutualistic09_route_plus_latent,1,0,0 vs 1,0.9845,0.1860347050242126,0.9473964460194111
1,Mutualistic09_route_plus_latent,1,1,2 vs 3,0.967,0.13741242932155728,0.9473433159291744
1,Mutualistic09_route_plus_latent,2,0,0 vs 1,0.9835,0.3505215458571911,0.8952250741422176
1,Mutualistic09_route_plus_latent,2,1,2 vs 3,0.97,0.6497526839375496,0.6265205517411232
1,Mutualistic09_route_plus_latent,2,2,4 vs 5,0.9995,0.010469759698025882,0.9981629513204098
1,Mutualistic09_route_plus_latent,3,0,0 vs 1,0.9825,0.2974349223077297,0.9164363443851471
1,Mutualistic09_route_plus_latent,3,1,2 vs 3,0.9715,0.6802958026528358,0.5842551700770855
