seed,model,task_id,task_name,best_acc,final_acc,per_task_forgetting
4,Mutualistic09_full_functional_memory,0,0 vs 1,0.992,0.9915,0.0004999999999999449
4,Mutualistic09_full_functional_memory,1,2 vs 3,0.969,0.9665,0.0024999999999999467
4,Mutualistic09_full_functional_memory,2,4 vs 5,1.0,0.999,0.0010000000000000009
4,Mutualistic09_full_functional_memory,3,6 vs 7,1.0,0.9995,0.0004999999999999449
4,Mutualistic09_full_functional_memory,4,8 vs 9,0.998,0.998,0.0
4,Mutualistic09_latent_only,0,0 vs 1,0.9885,0.983,0.00550000000000006
4,Mutualistic09_latent_only,1,2 vs 3,0.9695,0.9685,0.0010000000000000009
4,Mutualistic09_latent_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
4,Mutualistic09_latent_only,3,6 vs 7,1.0,1.0,0.0
4,Mutualistic09_latent_only,4,8 vs 9,0.9975,0.9975,0.0
4,Mutualistic09_route_memory_only,0,0 vs 1,0.9885,0.375,0.6135
4,Mutualistic09_route_memory_only,1,2 vs 3,0.9715,0.499,0.47250000000000003
4,Mutualistic09_route_memory_only,2,4 vs 5,0.9995,0.9895,0.010000000000000009
4,Mutualistic09_route_memory_only,3,6 vs 7,1.0,0.4165,0.5835
4,Mutualistic09_route_memory_only,4,8 vs 9,0.998,0.998,0.0
4,Mutualistic09_route_plus_latent,0,0 vs 1,0.9885,0.985,0.0035000000000000586
4,Mutualistic09_route_plus_latent,1,2 vs 3,0.973,0.9725,0.0004999999999999449
4,Mutualistic09_route_plus_latent,2,4 vs 5,0.9995,0.9995,0.0
4,Mutualistic09_route_plus_latent,3,6 vs 7,1.0,1.0,0.0
4,Mutualistic09_route_plus_latent,4,8 vs 9,0.998,0.998,0.0
5,Mutualistic09_distill_only,0,0 vs 1,0.9925,0.992,0.000500000000000056
5,Mutualistic09_distill_only,1,2 vs 3,0.9755,0.9735,0.0020000000000000018
5,Mutualistic09_distill_only,2,4 vs 5,1.0,1.0,0.0
5,Mutualistic09_distill_only,3,6 vs 7,1.0,1.0,0.0
5,Mutualistic09_distill_only,4,8 vs 9,0.9975,0.9975,0.0
5,Mutualistic09_full_functional_memory,0,0 vs 1,0.992,0.9895,0.0024999999999999467
5,Mutualistic09_full_functional_memory,1,2 vs 3,0.9705,0.9705,0.0
5,Mutualistic09_full_functional_memory,2,4 vs 5,1.0,1.0,0.0
5,Mutualistic09_full_functional_memory,3,6 vs 7,1.0,1.0,0.0
5,Mutualistic09_full_functional_memory,4,8 vs 9,0.998,0.998,0.0
5,Mutualistic09_latent_only,0,0 vs 1,0.9925,0.9825,0.010000000000000009
5,Mutualistic09_latent_only,1,2 vs 3,0.975,0.97,0.0050000000000000044
5,Mutualistic09_latent_only,2,4 vs 5,1.0,1.0,0.0
5,Mutualistic09_latent_only,3,6 vs 7,1.0,1.0,0.0
