seed,model,task_id,task_name,epoch,lambda_route_memory,lambda_distill,lambda_latent,lambda_entropy,task_loss,entropy,dominance,mutualism_violation,gain_mean,gain_min,route_memory_loss,distill_loss,latent_loss,alpha,total_loss
7,Mutualistic09_full_functional_memory,0,0 vs 1,14,2.0,1.0,1.0,0.006,0.007195432754629787,0.08487089366671886,0.9732140962113726,6.539577357893614e-05,0.0915943473339715,-0.00024736124992449866,0.0,0.0,0.0,1.0,0.011696571939961707
7,Mutualistic09_full_functional_memory,1,2 vs 3,0,2.0,1.0,1.0,0.006,0.1943637271352271,0.08883599802217584,0.9761281698308093,0.0011586094882891592,0.09113749793911491,-0.005409305637821238,0.0007865054286252842,0.03462653540241553,0.03365699036611601,0.0,0.27442136787353677
7,Mutualistic09_full_functional_memory,1,2 vs 3,2,2.0,1.0,1.0,0.006,0.06947699577567425,0.02790348061380234,0.9943111893978525,0.00011245726563310142,0.15531105722518676,-0.00036041157201249546,0.0007819457979999146,0.012615243973646393,0.010887224633405183,0.0,0.10304468243997147
7,Mutualistic09_full_functional_memory,1,2 vs 3,3,2.0,1.0,1.0,0.006,0.06577767792375798,0.023793823442402037,0.9953201210245173,0.00012739529097900154,0.2684759459596999,-0.00042873521910068835,0.0008000464476065238,0.013027624345998814,0.009533875597086041,0.5,0.09779733268821493
7,Mutualistic09_full_functional_memory,1,2 vs 3,14,2.0,1.0,1.0,0.006,0.02592886844649911,0.005560286972235809,0.9991932118192632,4.363621853149488e-06,0.8770619148903704,-1.6732998390464074e-05,0.000711335745941045,0.0018372866473695699,0.0031305446556987282,1.0,0.03685914562579165
7,Mutualistic09_full_functional_memory,2,4 vs 5,0,2.0,1.0,1.0,0.006,0.1518539624645355,0.03730121873160626,0.9895353811852475,0.00024416299590074417,0.06509406884458471,-0.001049553539524687,0.00047800136712310707,0.02246984186940802,0.0261198345267095,0.0,0.21651500257405829
7,Mutualistic09_full_functional_memory,2,4 vs 5,2,2.0,1.0,1.0,0.006,0.009795950349182524,0.20909582268684468,0.9089459700787321,6.761941970285979e-06,0.09390158467787377,-2.7804714726640824e-05,0.0003952339839185136,0.003679698590744049,0.0063178262059041795,0.0,0.03313380590778716
7,Mutualistic09_full_functional_memory,2,4 vs 5,3,2.0,1.0,1.0,0.006,0.005235428545386233,0.08114275566123902,0.9767070032180624,3.7241024673140512e-06,0.16854311937981464,-1.7255757677745312e-05,0.00045190722098499114,0.00242982091917161,0.00187873659269052,0.5,0.020226528352879462
7,Mutualistic09_full_functional_memory,2,4 vs 5,14,2.0,1.0,1.0,0.006,0.0013637083032703463,0.003177072845419195,0.9994773522336432,5.6105745994754297e-08,0.15028801988413992,-2.58934921882254e-07,0.00043528561756607195,0.00035883051942677257,0.00030613954406865735,1.0,0.007306477461168741
7,Mutualistic09_full_functional_memory,3,6 vs 7,0,2.0,1.0,1.0,0.006,0.06544782795963135,0.05429705531593967,0.9820545188924099,0.0003549746265236458,0.22164093671326943,-0.0017004885730591225,0.00046477831014310646,0.007822096337178714,0.04418240721396943,0.0,0.1345302770905038
