seed,model,after_task,task_id,task_name,host_0,host_1,host_2,host_3,host_4
1,Mutualistic09_distill_only,0,0,0 vs 1,0.02962604910135269,0.5011942982673645,0.4642929434776306,0.0021555402781814337,0.0027312450110912323
1,Mutualistic09_distill_only,1,0,0 vs 1,0.051528919488191605,0.47740066051483154,0.4623994529247284,0.0048910267651081085,0.003779919585213065
1,Mutualistic09_distill_only,1,1,2 vs 3,0.3591867685317993,0.6391288042068481,0.0013637744123116136,0.00019284061272628605,0.00012786917795892805
1,Mutualistic09_distill_only,2,0,0 vs 1,0.05093034356832504,0.47609925270080566,0.4636373519897461,0.005712594371289015,0.003620508126914501
1,Mutualistic09_distill_only,2,1,2 vs 3,0.3681417405605316,0.6314429044723511,0.00027734789182431996,9.792347555048764e-05,4.0000850276555866e-05
1,Mutualistic09_distill_only,2,2,4 vs 5,0.4997172951698303,0.5002101063728333,6.350554758682847e-05,6.182479864946799e-06,2.9231048301880946e-06
1,Mutualistic09_distill_only,3,0,0 vs 1,0.04449161887168884,0.4821881055831909,0.4635328948497772,0.006648458074778318,0.0031388879287987947
1,Mutualistic09_distill_only,3,1,2 vs 3,0.37770330905914307,0.6219545006752014,0.00022895412985235453,8.967681787908077e-05,2.3537124434369616e-05
1,Mutualistic09_distill_only,3,2,4 vs 5,0.4999085068702698,0.5000815987586975,8.703909770702012e-06,9.057569059223169e-07,3.056213699892396e-07
1,Mutualistic09_distill_only,3,3,6 vs 7,0.5009501576423645,0.49888888001441956,0.00010913221922237426,3.920524613931775e-05,1.2659033018280752e-05
1,Mutualistic09_distill_only,4,0,0 vs 1,0.03968353196978569,0.48317858576774597,0.4668183922767639,0.0069173104129731655,0.0034021453466266394
1,Mutualistic09_distill_only,4,1,2 vs 3,0.3843922019004822,0.6148320436477661,0.0006281406967900693,0.0001094065883080475,3.8121022953419015e-05
1,Mutualistic09_distill_only,4,2,4 vs 5,0.49929890036582947,0.5006883144378662,1.0028653377958108e-05,2.4205698991863756e-06,3.6912527434651565e-07
1,Mutualistic09_distill_only,4,3,6 vs 7,0.5010294914245605,0.4987522065639496,0.0001402745838277042,6.163038779050112e-05,1.6346597476513125e-05
1,Mutualistic09_distill_only,4,4,8 vs 9,0.5020910501480103,0.49737125635147095,0.0004166661819908768,9.649219282437116e-05,2.4547964130761102e-05
1,Mutualistic09_route_memory_only,0,0,0 vs 1,0.02962604910135269,0.5011942982673645,0.4642929434776306,0.0021555402781814337,0.0027312450110912323
1,Mutualistic09_route_memory_only,1,0,0 vs 1,0.01821870356798172,0.49855494499206543,0.47530341148376465,0.002518459688872099,0.005404504481703043
1,Mutualistic09_route_memory_only,1,1,2 vs 3,0.004743045195937157,0.9907405972480774,0.0036279542837291956,0.00024207113892771304,0.0006463370518758893
1,Mutualistic09_route_memory_only,2,0,0 vs 1,0.02842717617750168,0.5109419226646423,0.4530845880508423,0.0019731358624994755,0.005573176313191652
1,Mutualistic09_route_memory_only,2,1,2 vs 3,0.004511834122240543,0.9931750893592834,0.001292375149205327,4.3557225581025705e-05,0.0009771690238267183
1,Mutualistic09_route_memory_only,2,2,4 vs 5,0.00033788755536079407,0.4989495277404785,0.0005907692830078304,1.4371720681083389e-05,0.5001074075698853
1,Mutualistic09_route_memory_only,3,0,0 vs 1,0.027550959959626198,0.510358452796936,0.4588173031806946,0.0011565223103389144,0.0021167804952710867
1,Mutualistic09_route_memory_only,3,1,2 vs 3,0.004211766179651022,0.9939646124839783,0.0014203189639374614,2.9278695365064777e-05,0.00037408011849038303
1,Mutualistic09_route_memory_only,3,2,4 vs 5,0.0002150617801817134,0.49986395239830017,0.0005104978336021304,6.478753221017541e-06,0.49940401315689087
1,Mutualistic09_route_memory_only,3,3,6 vs 7,0.0010532023152336478,0.4978121817111969,0.0008926730370149016,3.940378883271478e-05,0.5002025961875916
1,Mutualistic09_route_memory_only,4,0,0 vs 1,0.02904987521469593,0.5030787587165833,0.4625857174396515,0.001299993833526969,0.003985658288002014
1,Mutualistic09_route_memory_only,4,1,2 vs 3,0.005953336600214243,0.9889256358146667,0.003521519713103771,5.959102782071568e-05,0.0015398366376757622
1,Mutualistic09_route_memory_only,4,2,4 vs 5,0.00019272664212621748,0.5035425424575806,0.0008515683584846556,6.8813151301583275e-06,0.49540629982948303
1,Mutualistic09_route_memory_only,4,3,6 vs 7,0.0011262663174420595,0.49853450059890747,0.0014817675109952688,7.144614210119471e-05,0.49878600239753723
1,Mutualistic09_route_memory_only,4,4,8 vs 9,9.342999692307785e-05,0.4976004362106323,0.00044448397238738835,8.372725801564229e-07,0.5018607974052429
1,Mutualistic09_latent_only,0,0,0 vs 1,0.02962604910135269,0.5011942982673645,0.4642929434776306,0.0021555402781814337,0.0027312450110912323
1,Mutualistic09_latent_only,1,0,0 vs 1,0.009160628542304039,0.40487122535705566,0.5154358148574829,0.049496352672576904,0.02103605307638645
1,Mutualistic09_latent_only,1,1,2 vs 3,0.504482626914978,0.4920383095741272,0.002497754292562604,0.000908816116861999,7.253047078847885e-05
1,Mutualistic09_latent_only,2,0,0 vs 1,0.010002958588302135,0.17858898639678955,0.5212941765785217,0.28102022409439087,0.009093590080738068
1,Mutualistic09_latent_only,2,1,2 vs 3,0.9808093905448914,0.018951190635561943,0.00017727832891978323,2.2295022063190117e-05,3.981774716521613e-05
1,Mutualistic09_latent_only,2,2,4 vs 5,0.5007108449935913,0.4988909363746643,0.0001519840443506837,0.0001780904276529327,6.816579843871295e-05
1,Mutualistic09_latent_only,3,0,0 vs 1,0.001603329903446138,0.0012833740329369903,0.9684832096099854,0.02229783684015274,0.006332176271826029
1,Mutualistic09_latent_only,3,1,2 vs 3,0.9830672740936279,0.0067354547791182995,0.00955087412148714,0.0005460140528157353,0.0001003877041512169
1,Mutualistic09_latent_only,3,2,4 vs 5,0.5004761219024658,0.4857105314731598,0.0006357164238579571,0.01306065171957016,0.00011696771980496123
1,Mutualistic09_latent_only,3,3,6 vs 7,0.5000850558280945,0.00031424075132235885,0.00019456727022770792,0.49931830167770386,8.774606976658106e-05
1,Mutualistic09_latent_only,4,0,0 vs 1,0.007985420525074005,0.06589359045028687,0.8249821662902832,0.05663970857858658,0.04449916258454323
1,Mutualistic09_latent_only,4,1,2 vs 3,0.9876807332038879,0.01116067823022604,0.0007899802876636386,3.0440853151958436e-05,0.0003381599672138691
1,Mutualistic09_latent_only,4,2,4 vs 5,0.49752652645111084,0.499275267124176,0.0007097508641891181,0.0018931567901745439,0.0005952975479885936
1,Mutualistic09_latent_only,4,3,6 vs 7,0.48687228560447693,0.0013711143983528018,0.0006135784205980599,0.5096319317817688,0.001511088223196566
1,Mutualistic09_latent_only,4,4,8 vs 9,0.5015686750411987,0.0002940489212051034,0.49764159321784973,0.00015014162636362016,0.00034555315505713224
1,Mutualistic09_route_plus_latent,0,0,0 vs 1,0.02962604910135269,0.5011942982673645,0.4642929434776306,0.0021555402781814337,0.0027312450110912323
1,Mutualistic09_route_plus_latent,1,0,0 vs 1,0.01544967945665121,0.48952990770339966,0.4763105809688568,0.008376047015190125,0.010333788581192493
1,Mutualistic09_route_plus_latent,1,1,2 vs 3,0.45496684312820435,0.5431352853775024,0.001721990411169827,9.207615221384913e-05,8.380921644857153e-05
1,Mutualistic09_route_plus_latent,2,0,0 vs 1,0.03216037154197693,0.4927799105644226,0.4554581344127655,0.011183683760464191,0.008417909033596516
1,Mutualistic09_route_plus_latent,2,1,2 vs 3,0.482083261013031,0.516634464263916,0.0008838757057674229,0.0002091464411932975,0.00018924685718957335
1,Mutualistic09_route_plus_latent,2,2,4 vs 5,0.5006458163261414,0.49907371401786804,0.00026407037512399256,7.551539511041483e-06,8.886093382898252e-06
1,Mutualistic09_route_plus_latent,3,0,0 vs 1,0.031563900411129,0.48858028650283813,0.46293503046035767,0.007256041280925274,0.00966469757258892
1,Mutualistic09_route_plus_latent,3,1,2 vs 3,0.474576473236084,0.5234495997428894,0.0012613213621079922,0.000353300099959597,0.00035934464540332556
1,Mutualistic09_route_plus_latent,3,2,4 vs 5,0.5013498067855835,0.4971292018890381,0.0006261025555431843,0.0008321299101226032,6.272553582675755e-05
1,Mutualistic09_route_plus_latent,3,3,6 vs 7,0.5000932216644287,0.00019684630387928337,0.000428523140726611,0.49925193190574646,2.9512761102523655e-05
1,Mutualistic09_route_plus_latent,4,0,0 vs 1,0.03145945817232132,0.494342565536499,0.4630543887615204,0.0004991714959032834,0.0106443976983428
1,Mutualistic09_route_plus_latent,4,1,2 vs 3,0.45961612462997437,0.5375853776931763,0.0023132225032895803,0.00010783921607071534,0.00037744134897366166
1,Mutualistic09_route_plus_latent,4,2,4 vs 5,0.5008379220962524,0.49826404452323914,0.000812517711892724,3.2854630262590945e-05,5.269145913189277e-05
1,Mutualistic09_route_plus_latent,4,3,6 vs 7,0.49962836503982544,0.0016022997442632914,0.0022614672780036926,0.49645355343818665,5.426914503914304e-05
1,Mutualistic09_route_plus_latent,4,4,8 vs 9,0.5022040009498596,0.494765043258667,0.002818552078679204,6.143519567558542e-05,0.00015097332652658224
1,Mutualistic09_full_functional_memory,0,0,0 vs 1,0.019635409116744995,0.50445157289505,0.4724746644496918,0.002113196300342679,0.0013251027557998896
1,Mutualistic09_full_functional_memory,1,0,0 vs 1,0.007136148400604725,0.4989159405231476,0.48347988724708557,0.007056140806525946,0.003411834128201008
1,Mutualistic09_full_functional_memory,1,1,2 vs 3,0.05034828931093216,0.9468819499015808,0.002226698212325573,0.00043403939343988895,0.0001090448786271736
1,Mutualistic09_full_functional_memory,2,0,0 vs 1,0.01653619110584259,0.490727037191391,0.4821658134460449,0.007263470906764269,0.003307487117126584
1,Mutualistic09_full_functional_memory,2,1,2 vs 3,0.07413896173238754,0.9238865971565247,0.0013942128280177712,0.00048697259626351297,9.323436097474769e-05
1,Mutualistic09_full_functional_memory,2,2,4 vs 5,0.5001679062843323,0.49970948696136475,0.00011103345605079085,1.0810916137415916e-05,7.844391234357317e-07
1,Mutualistic09_full_functional_memory,3,0,0 vs 1,0.01576259918510914,0.4934956729412079,0.4769306778907776,0.008347316645085812,0.0054637230932712555
1,Mutualistic09_full_functional_memory,3,1,2 vs 3,0.05604575201869011,0.9417481422424316,0.0014353859005495906,0.00042665202636271715,0.00034409851650707424
1,Mutualistic09_full_functional_memory,3,2,4 vs 5,0.500359296798706,0.4975442886352539,9.94254369288683e-05,0.0019935709424316883,3.3592248200875474e-06
1,Mutualistic09_full_functional_memory,3,3,6 vs 7,0.5000273585319519,0.0002419281954644248,3.393480437807739e-05,0.49969393014907837,2.7263818083156366e-06
1,Mutualistic09_full_functional_memory,4,0,0 vs 1,0.016323653981089592,0.49635735154151917,0.4757848381996155,0.005392805207520723,0.006141384597867727
1,Mutualistic09_full_functional_memory,4,1,2 vs 3,0.05625894293189049,0.9409518241882324,0.001745775924064219,0.0005792464362457395,0.0004642177082132548
